Year,Quarter,Product Model,5G Capability,Units Sold,Revenue ($),Market Share (%),Regional 5G Coverage (%),5G Subscribers (millions),Avg 5G Speed (Mbps),Preference for 5G (%),Region,Market Segment,Efficiency_Score,Est_Support_Years,Value_Score
2019,Q3,Galaxy A14 5G,Yes,30819,60274563.34,3.44,41.17,26.42,199.68,61.6,North America,A-Series (Budget),67.28,3.0,201.84
2019,Q3,Galaxy S23 5G,Yes,18284,26788292.56,6.45,80.0,23.63,137.73,81.32,Latin America,S-Series (Flagship),94.5,5.0,472.5
2019,Q3,Galaxy Z Flip5 5G,Yes,48617,6134803.46,6.48,91.79,54.94,88.28,82.55,Latin America,Strategic (FE/Foldable),8.18,4.0,32.72
2019,Q4,Galaxy S10,No,30040,34166065.19,1.57,28.49,47.01,243.47,58.24,North America,S-Series (Flagship),17.86,5.0,89.3
2019,Q4,Galaxy Note10,No,40978,52202051.46,0.34,39.98,44.96,130.25,45.44,Europe,Specialty,4.33,2.0,8.66
2019,Q4,Galaxy S20,No,46113,23485210.48,1.89,69.9,13.34,167.31,45.48,Europe,S-Series (Flagship),9.63,5.0,48.150000000000006
2019,Q4,Galaxy Note20,No,8438,35324703.52,2.29,80.9,10.53,80.15,75.72,Middle East & Africa,Specialty,95.87,2.0,191.74
2019,Q4,Galaxy S21,No,23500,33337345.93,3.74,33.06,18.7,73.31,70.74,Europe,S-Series (Flagship),53.06,5.0,265.3
2019,Q4,Galaxy A32 5G,Yes,40164,21739755.84,3.76,50.13,13.99,210.05,58.83,Latin America,A-Series (Budget),20.35,3.0,61.050000000000004
2019,Q4,Galaxy A52 5G,Yes,53367,69827344.42,6.1,95.93,47.57,185.7,93.45,North America,A-Series (Budget),79.81,3.0,239.43
2019,Q4,Galaxy A73 5G,Yes,37612,34802846.64,2.53,66.46,24.02,120.07,87.24,Middle East & Africa,A-Series (Budget),23.41,3.0,70.23
2019,Q4,Galaxy Z Fold2 5G,Yes,31445,62662104.5,4.86,61.44,27.46,183.03,72.21,Asia-Pacific,Strategic (FE/Foldable),96.85,4.0,387.4
2019,Q4,Galaxy Z Flip3 5G,Yes,34541,23308775.82,4.03,59.35,8.37,138.67,80.35,Latin America,Strategic (FE/Foldable),27.2,4.0,108.8
2019,Q4,Galaxy S22 5G,Yes,6719,38311286.36,5.38,42.55,50.32,110.97,87.8,Asia-Pacific,S-Series (Flagship),306.76,5.0,1533.8
2019,Q4,Galaxy Z Fold3 5G,Yes,32919,38143238.39,6.62,79.48,45.85,295.62,58.71,North America,Strategic (FE/Foldable),76.71,4.0,306.84
2019,Q4,Galaxy A14 5G,Yes,46371,71988709.97,3.21,88.89,48.87,265.71,90.81,Europe,A-Series (Budget),49.83,3.0,149.49
2019,Q4,Galaxy S23 5G,Yes,40084,17163852.83,6.33,42.8,48.55,156.88,53.55,Asia-Pacific,S-Series (Flagship),27.1,5.0,135.5
2019,Q4,Galaxy Z Flip5 5G,Yes,20192,14639182.7,4.61,48.26,50.86,195.2,60.91,Latin America,Strategic (FE/Foldable),33.42,4.0,133.68
2020,Q1,Galaxy S10,No,17825,37347187.77,0.16,62.97,26.44,245.48,75.23,Europe,S-Series (Flagship),3.35,5.0,16.75
2020,Q1,Galaxy Note10,No,21472,34965645.31,0.25,49.22,24.99,247.01,80.17,Latin America,Specialty,4.07,2.0,8.14
2020,Q1,Galaxy S20,No,35641,48775290.39,3.88,60.51,6.1,196.59,78.94,North America,S-Series (Flagship),53.1,5.0,265.5
2020,Q1,Galaxy Note20,No,18960,25972084.14,0.53,72.69,26.51,157.1,53.68,Latin America,Specialty,7.26,2.0,14.52
2020,Q1,Galaxy S21,No,18546,42315159.99,1.81,58.09,33.08,110.9,49.63,Latin America,S-Series (Flagship),41.3,5.0,206.5
2020,Q1,Galaxy A32 5G,Yes,42883,18588730.37,6.37,72.87,45.86,273.59,52.9,Asia-Pacific,A-Series (Budget),27.61,3.0,82.83
2020,Q1,Galaxy A52 5G,Yes,49662,52134225.08,2.9,96.42,52.2,187.23,76.5,Middle East & Africa,A-Series (Budget),30.44,3.0,91.32000000000001
2020,Q1,Galaxy A73 5G,Yes,48484,10752134.16,3.75,41.49,10.67,87.88,79.09,Middle East & Africa,A-Series (Budget),8.32,3.0,24.96
2020,Q1,Galaxy Z Fold2 5G,Yes,11438,56002244.29,6.33,93.95,52.02,168.24,63.04,Asia-Pacific,Strategic (FE/Foldable),309.93,4.0,1239.72
2020,Q1,Galaxy Z Flip3 5G,Yes,58199,35481161.41,5.66,42.96,27.95,151.66,52.29,Latin America,Strategic (FE/Foldable),34.51,4.0,138.04
2020,Q1,Galaxy S22 5G,Yes,40807,28409469.32,3.04,47.56,33.59,95.38,57.91,Latin America,S-Series (Flagship),21.16,5.0,105.8
2020,Q1,Galaxy Z Fold3 5G,Yes,27476,29188076.98,4.96,54.96,34.62,228.07,69.24,North America,Strategic (FE/Foldable),52.69,4.0,210.76
2020,Q1,Galaxy A14 5G,Yes,25491,13470114.8,6.6,70.0,41.55,54.56,66.45,Middle East & Africa,A-Series (Budget),34.88,3.0,104.64000000000001
2020,Q1,Galaxy S23 5G,Yes,57319,64038833.05,5.25,98.77,44.44,187.76,51.45,North America,S-Series (Flagship),58.65,5.0,293.25
2020,Q1,Galaxy Z Flip5 5G,Yes,53118,71564619.92,4.21,103.57,52.17,120.41,76.81,North America,Strategic (FE/Foldable),56.72,4.0,226.88
2020,Q2,Galaxy S10,No,21197,22480526.16,1.84,39.26,10.62,193.23,38.5,Latin America,S-Series (Flagship),19.51,5.0,97.55000000000001
2020,Q2,Galaxy Note10,No,8785,16339172.24,0.36,50.5,16.16,96.06,70.49,Europe,Specialty,6.7,2.0,13.4
2020,Q2,Galaxy S20,No,43775,10852645.86,2.71,42.03,29.43,282.82,64.08,Europe,S-Series (Flagship),6.72,5.0,33.6
2020,Q2,Galaxy Note20,No,29178,41803911.05,2.59,47.84,16.52,134.32,74.93,Latin America,Specialty,37.11,2.0,74.22
2020,Q2,Galaxy S21,No,8601,32922566.24,2.99,82.16,47.56,139.42,52.96,Asia-Pacific,S-Series (Flagship),114.45,5.0,572.25
2020,Q2,Galaxy A32 5G,Yes,51214,22604101.45,3.88,98.74,29.87,153.45,54.94,North America,A-Series (Budget),17.12,3.0,51.36
2020,Q2,Galaxy A52 5G,Yes,58086,50254952.18,6.19,46.93,40.93,130.68,54.46,Europe,A-Series (Budget),53.55,3.0,160.64999999999998
2020,Q2,Galaxy A73 5G,Yes,63974,66783552.34,4.99,43.38,39.44,264.15,79.22,Middle East & Africa,A-Series (Budget),52.09,3.0,156.27
2020,Q2,Galaxy Z Fold2 5G,Yes,47829,6077295.05,3.59,88.79,32.57,175.9,45.25,North America,Strategic (FE/Foldable),4.56,4.0,18.24
2020,Q2,Galaxy Z Flip3 5G,Yes,41163,19005446.11,4.79,51.77,44.26,210.86,88.02,Europe,Strategic (FE/Foldable),22.12,4.0,88.48
2020,Q2,Galaxy S22 5G,Yes,27381,65294982.83,2.65,62.02,25.37,130.24,86.46,North America,S-Series (Flagship),63.19,5.0,315.95
2020,Q2,Galaxy Z Fold3 5G,Yes,61462,55137531.49,5.78,89.44,51.04,280.82,85.04,Latin America,Strategic (FE/Foldable),51.85,4.0,207.4
2020,Q2,Galaxy A14 5G,Yes,10455,27982805.1,6.83,69.1,10.39,105.02,75.93,Latin America,A-Series (Budget),182.8,3.0,548.4000000000001
2020,Q2,Galaxy S23 5G,Yes,53896,47982928.73,3.17,75.16,22.74,92.93,86.89,Latin America,S-Series (Flagship),28.22,5.0,141.1
2020,Q2,Galaxy Z Flip5 5G,Yes,47830,79207664.34,3.46,58.97,52.43,236.28,50.08,Asia-Pacific,Strategic (FE/Foldable),57.3,4.0,229.2
2020,Q3,Galaxy S10,No,27328,31739575.95,0.42,68.61,19.37,57.25,41.31,Middle East & Africa,S-Series (Flagship),4.88,5.0,24.4
2020,Q3,Galaxy Note10,No,38772,27841226.88,3.48,60.92,27.62,136.07,84.47,Europe,Specialty,24.99,2.0,49.98
2020,Q3,Galaxy S20,No,7511,31385211.28,1.48,60.0,1.68,52.52,85.45,North America,S-Series (Flagship),61.84,5.0,309.20000000000005
2020,Q3,Galaxy Note20,No,16212,59842662.15,0.36,81.98,6.72,59.98,45.43,Middle East & Africa,Specialty,13.29,2.0,26.58
2020,Q3,Galaxy S21,No,44767,6397386.22,2.66,65.67,24.92,94.9,53.63,Middle East & Africa,S-Series (Flagship),3.8,5.0,19.0
2020,Q3,Galaxy A32 5G,Yes,29628,50812407.28,5.11,88.32,13.49,66.69,63.04,Asia-Pacific,A-Series (Budget),87.64,3.0,262.92
2020,Q3,Galaxy A52 5G,Yes,63137,23567297.83,4.79,66.15,49.64,94.47,82.6,North America,A-Series (Budget),17.88,3.0,53.64
2020,Q3,Galaxy A73 5G,Yes,56115,16158944.45,6.22,91.44,29.96,193.54,89.31,Europe,A-Series (Budget),17.91,3.0,53.730000000000004
2020,Q3,Galaxy Z Fold2 5G,Yes,33872,60050676.8,2.94,88.63,27.11,186.09,61.17,Middle East & Africa,Strategic (FE/Foldable),52.12,4.0,208.48
2020,Q3,Galaxy Z Flip3 5G,Yes,56598,9650777.53,6.61,77.65,26.15,69.04,88.7,Latin America,Strategic (FE/Foldable),11.27,4.0,45.08
2020,Q3,Galaxy S22 5G,Yes,8082,53518254.12,3.35,102.49,49.53,289.41,93.02,Europe,S-Series (Flagship),221.83,5.0,1109.15
2020,Q3,Galaxy Z Fold3 5G,Yes,53108,8982957.78,6.02,47.8,32.45,100.39,59.44,Latin America,Strategic (FE/Foldable),10.18,4.0,40.72
2020,Q3,Galaxy A14 5G,Yes,42820,5518854.46,6.58,41.01,18.12,169.67,79.56,Europe,A-Series (Budget),8.48,3.0,25.44
2020,Q3,Galaxy S23 5G,Yes,55164,9027240.92,4.77,48.66,29.6,94.48,55.85,Europe,S-Series (Flagship),7.81,5.0,39.05
2020,Q3,Galaxy Z Flip5 5G,Yes,12993,7444019.26,3.67,53.23,49.96,236.45,87.73,North America,Strategic (FE/Foldable),21.03,4.0,84.12
2020,Q4,Galaxy S10,No,49522,13749933.39,0.73,68.38,46.89,221.54,67.28,North America,S-Series (Flagship),2.03,5.0,10.149999999999999
2020,Q4,Galaxy Note10,No,35672,43822054.96,0.84,44.22,46.9,285.05,50.09,Asia-Pacific,Specialty,10.32,2.0,20.64
2020,Q4,Galaxy S20,No,23896,18747121.28,0.49,32.09,10.83,225.49,56.78,Middle East & Africa,S-Series (Flagship),3.84,5.0,19.2
2020,Q4,Galaxy Note20,No,7473,19621770.61,3.88,74.66,27.55,177.22,72.36,North America,Specialty,101.88,2.0,203.76
2020,Q4,Galaxy S21,No,11913,41627181.2,0.35,64.46,0.84,155.16,44.89,Latin America,S-Series (Flagship),12.23,5.0,61.150000000000006
2020,Q4,Galaxy A32 5G,Yes,39692,34859771.57,6.62,87.81,39.64,189.6,62.18,Asia-Pacific,A-Series (Budget),58.14,3.0,174.42000000000002
2020,Q4,Galaxy A52 5G,Yes,48805,32349455.4,4.42,99.33,33.79,96.26,57.17,North America,A-Series (Budget),29.3,3.0,87.9
2020,Q4,Galaxy A73 5G,Yes,8115,44826833.53,4.65,62.42,41.52,295.85,48.71,Asia-Pacific,A-Series (Budget),256.86,3.0,770.58
2020,Q4,Galaxy Z Fold2 5G,Yes,52951,13524137.65,2.83,73.07,27.79,52.85,70.84,Europe,Strategic (FE/Foldable),7.23,4.0,28.92
2020,Q4,Galaxy Z Flip3 5G,Yes,40353,16476389.24,3.06,46.41,21.11,194.98,54.61,Middle East & Africa,Strategic (FE/Foldable),12.49,4.0,49.96
2020,Q4,Galaxy S22 5G,Yes,26015,13548942.44,5.19,92.87,45.67,248.52,85.87,North America,S-Series (Flagship),27.03,5.0,135.15
2020,Q4,Galaxy Z Fold3 5G,Yes,11163,12032304.64,3.84,40.71,45.09,122.22,83.63,North America,Strategic (FE/Foldable),41.39,4.0,165.56
2020,Q4,Galaxy A14 5G,Yes,36975,33358884.74,5.36,74.28,33.57,72.54,57.77,North America,A-Series (Budget),48.36,3.0,145.07999999999998
2020,Q4,Galaxy S23 5G,Yes,28163,76740547.76,6.5,49.19,23.05,154.42,78.77,Latin America,S-Series (Flagship),177.12,5.0,885.6
2020,Q4,Galaxy Z Flip5 5G,Yes,49246,5030391.84,6.07,51.07,47.75,137.42,71.5,Middle East & Africa,Strategic (FE/Foldable),6.2,4.0,24.8
2021,Q1,Galaxy S10,No,44456,14331275.99,0.65,61.11,40.37,129.5,66.93,North America,S-Series (Flagship),2.1,5.0,10.5
2021,Q1,Galaxy Note10,No,6548,54168172.52,2.64,63.01,17.85,279.58,73.97,Europe,Specialty,218.39,2.0,436.78
2021,Q1,Galaxy S20,No,36129,28657040.44,0.49,60.6,1.57,209.38,62.41,Middle East & Africa,S-Series (Flagship),3.89,5.0,19.45
2021,Q1,Galaxy Note20,No,36476,9769649.44,0.4,67.05,29.96,138.12,52.54,Europe,Specialty,1.07,2.0,2.14
2021,Q1,Galaxy S21,No,34090,7777936.37,3.54,71.27,41.68,171.59,50.17,Middle East & Africa,S-Series (Flagship),8.08,5.0,40.4
2021,Q1,Galaxy A32 5G,Yes,30278,12377641.48,3.86,40.51,51.79,184.8,61.75,Middle East & Africa,A-Series (Budget),15.78,3.0,47.339999999999996
2021,Q1,Galaxy A52 5G,Yes,57898,19848318.31,4.43,45.27,23.12,277.65,55.07,Latin America,A-Series (Budget),15.19,3.0,45.57
2021,Q1,Galaxy A73 5G,Yes,44847,14310727.31,5.07,66.56,16.83,97.53,53.5,Europe,A-Series (Budget),16.18,3.0,48.54
2021,Q1,Galaxy Z Fold2 5G,Yes,6557,41433407.51,2.69,94.68,54.35,127.45,85.11,Asia-Pacific,Strategic (FE/Foldable),169.98,4.0,679.92
2021,Q1,Galaxy Z Flip3 5G,Yes,58334,67042799.4,6.02,90.08,10.35,102.66,60.11,Europe,Strategic (FE/Foldable),69.19,4.0,276.76
2021,Q1,Galaxy S22 5G,Yes,42025,46339655.03,4.66,82.85,36.11,176.96,71.11,North America,S-Series (Flagship),51.38,5.0,256.90000000000003
2021,Q1,Galaxy Z Fold3 5G,Yes,8612,30287874.85,3.62,54.88,52.25,288.87,72.55,Asia-Pacific,Strategic (FE/Foldable),127.31,4.0,509.24
2021,Q1,Galaxy A14 5G,Yes,33689,37582037.58,6.06,97.44,25.59,133.77,92.93,Europe,A-Series (Budget),67.6,3.0,202.79999999999998
2021,Q1,Galaxy S23 5G,Yes,60093,79592293.16,3.24,68.56,48.17,130.83,75.69,Latin America,S-Series (Flagship),42.91,5.0,214.54999999999998
2021,Q1,Galaxy Z Flip5 5G,Yes,50612,24547804.33,4.38,76.13,16.43,58.21,60.85,Asia-Pacific,Strategic (FE/Foldable),21.24,4.0,84.96
2021,Q2,Galaxy S10,No,33392,40200175.95,0.14,69.32,24.76,255.14,39.33,North America,S-Series (Flagship),1.69,5.0,8.45
2021,Q2,Galaxy Note10,No,20351,10720475.02,3.45,77.71,3.3,285.13,73.56,North America,Specialty,18.17,2.0,36.34
2021,Q2,Galaxy S20,No,9689,18237818.16,0.39,45.74,39.58,291.06,65.82,North America,S-Series (Flagship),7.34,5.0,36.7
2021,Q2,Galaxy Note20,No,19360,21067765.94,0.71,72.25,24.64,119.68,71.1,Latin America,Specialty,7.73,2.0,15.46
2021,Q2,Galaxy S21,No,41937,10442280.66,0.2,67.0,23.33,106.63,42.6,Asia-Pacific,S-Series (Flagship),0.5,5.0,2.5
2021,Q2,Galaxy A32 5G,Yes,26634,17977115.15,2.97,45.93,52.08,238.86,74.08,Middle East & Africa,A-Series (Budget),20.05,3.0,60.150000000000006
2021,Q2,Galaxy A52 5G,Yes,36653,38555751.19,4.34,88.65,27.12,280.3,66.0,Middle East & Africa,A-Series (Budget),45.65,3.0,136.95
2021,Q2,Galaxy A73 5G,Yes,61958,56094433.86,4.58,59.36,24.48,62.63,92.83,Asia-Pacific,A-Series (Budget),41.47,3.0,124.41
2021,Q2,Galaxy Z Fold2 5G,Yes,6501,38321092.72,5.28,74.46,32.11,93.6,93.25,Latin America,Strategic (FE/Foldable),311.24,4.0,1244.96
2021,Q2,Galaxy Z Flip3 5G,Yes,31267,31015491.11,3.11,75.22,36.29,75.66,48.08,Europe,Strategic (FE/Foldable),30.85,4.0,123.4
2021,Q2,Galaxy S22 5G,Yes,27446,66537700.6,5.89,93.07,25.38,199.61,89.51,North America,S-Series (Flagship),142.79,5.0,713.9499999999999
2021,Q2,Galaxy Z Fold3 5G,Yes,60479,80946999.25,4.36,41.23,45.34,215.46,49.82,Latin America,Strategic (FE/Foldable),58.36,4.0,233.44
2021,Q2,Galaxy A14 5G,Yes,33576,15758344.55,6.65,73.37,14.85,69.65,58.52,Europe,A-Series (Budget),31.21,3.0,93.63
2021,Q2,Galaxy S23 5G,Yes,53719,32766472.26,2.82,96.44,40.48,160.45,71.77,Latin America,S-Series (Flagship),17.2,5.0,86.0
2021,Q2,Galaxy Z Flip5 5G,Yes,34710,17998844.95,5.28,61.27,11.75,237.56,76.8,Middle East & Africa,Strategic (FE/Foldable),27.38,4.0,109.52
2021,Q3,Galaxy S10,No,39031,18608941.01,3.81,33.54,15.3,107.98,58.3,Asia-Pacific,S-Series (Flagship),18.17,5.0,90.85000000000001
2021,Q3,Galaxy Note10,No,34903,18518248.49,2.05,53.32,5.41,217.97,54.81,Europe,Specialty,10.88,2.0,21.76
2021,Q3,Galaxy S20,No,35996,23537405.35,3.53,37.57,31.68,291.12,85.21,Latin America,S-Series (Flagship),23.08,5.0,115.39999999999999
2021,Q3,Galaxy Note20,No,42820,29532856.46,0.47,68.24,19.11,188.16,46.5,Latin America,Specialty,3.24,2.0,6.48
2021,Q3,Galaxy S21,No,28881,21441364.65,0.66,41.69,44.53,269.38,59.06,Middle East & Africa,S-Series (Flagship),4.9,5.0,24.5
2021,Q3,Galaxy A32 5G,Yes,55419,10737537.96,2.59,68.8,35.98,196.85,72.96,Middle East & Africa,A-Series (Budget),5.02,3.0,15.059999999999999
2021,Q3,Galaxy A52 5G,Yes,7872,5221237.33,4.11,54.57,44.85,202.32,88.65,Europe,A-Series (Budget),27.26,3.0,81.78
2021,Q3,Galaxy A73 5G,Yes,24758,51101597.95,4.72,98.62,35.63,259.73,81.14,Middle East & Africa,A-Series (Budget),97.42,3.0,292.26
2021,Q3,Galaxy Z Fold2 5G,Yes,50384,16798329.65,4.36,89.43,51.51,132.01,80.99,Asia-Pacific,Strategic (FE/Foldable),14.54,4.0,58.16
2021,Q3,Galaxy Z Flip3 5G,Yes,8281,15827206.45,2.87,97.24,49.02,297.81,77.33,North America,Strategic (FE/Foldable),54.85,4.0,219.4
2021,Q3,Galaxy S22 5G,Yes,54330,37269680.39,6.02,48.4,15.34,212.64,88.87,Middle East & Africa,S-Series (Flagship),41.3,5.0,206.5
2021,Q3,Galaxy Z Fold3 5G,Yes,32683,17951923.9,4.86,53.85,21.86,99.2,71.55,Europe,Strategic (FE/Foldable),26.69,4.0,106.76
2021,Q3,Galaxy A14 5G,Yes,58052,45303231.34,5.93,82.65,33.54,271.18,90.26,Asia-Pacific,A-Series (Budget),46.28,3.0,138.84
2021,Q3,Galaxy S23 5G,Yes,28022,33044277.48,3.7,91.77,8.11,274.8,87.0,Europe,S-Series (Flagship),43.63,5.0,218.15
2021,Q3,Galaxy Z Flip5 5G,Yes,55987,5330566.68,2.81,47.52,46.97,166.12,82.49,Asia-Pacific,Strategic (FE/Foldable),2.68,4.0,10.72
2021,Q4,Galaxy S10,No,5309,30375439.56,0.17,38.35,33.49,297.3,66.82,Asia-Pacific,S-Series (Flagship),9.73,5.0,48.650000000000006
2021,Q4,Galaxy Note10,No,39415,15774523.4,3.44,72.4,38.09,242.8,86.48,North America,Specialty,13.77,2.0,27.54
2021,Q4,Galaxy S20,No,7734,10384187.42,2.43,37.34,20.93,122.97,82.42,Latin America,S-Series (Flagship),32.63,5.0,163.15
2021,Q4,Galaxy Note20,No,40180,8451472.22,3.22,52.55,44.45,97.8,53.34,Europe,Specialty,6.77,2.0,13.54
2021,Q4,Galaxy S21,No,39509,57709591.71,0.44,52.43,9.26,214.47,84.68,Middle East & Africa,S-Series (Flagship),6.43,5.0,32.15
2021,Q4,Galaxy A32 5G,Yes,7653,25848407.75,6.33,66.02,9.81,183.48,54.28,Middle East & Africa,A-Series (Budget),213.8,3.0,641.4000000000001
2021,Q4,Galaxy A52 5G,Yes,10112,41338291.91,3.44,40.87,37.22,93.6,72.67,Asia-Pacific,A-Series (Budget),140.63,3.0,421.89
2021,Q4,Galaxy A73 5G,Yes,63494,10304716.72,3.98,74.63,53.48,296.12,93.14,North America,A-Series (Budget),6.46,3.0,19.38
2021,Q4,Galaxy Z Fold2 5G,Yes,40197,47733241.81,4.21,63.71,37.93,70.52,74.59,Europe,Strategic (FE/Foldable),49.99,4.0,199.96
